ID,SMILES
R4272,CC(C)(C)OC(=O)NC(=O)CBr.COc1ccc(C(=O)O)cc1>>COc1ccc(C(=O)OCC(=O)NC(=O)OC(C)(C)C)cc1
R4277,CNc1ncnc(Cl)c1C(=O)CCc1ccccc1.O=C(O)CNC(=O)OCc1ccccc1>>CN(C(=O)CNC(=O)OCc1ccccc1)c1ncnc(Cl)c1C(=O)CCc1ccccc1
R4283,CC(C)(C)OC(=O)NCC(=O)Nn1cnnc1>>NCC(=O)Nn1cnnc1
R4285,CC(C)(C)OC(=O)NCC(=O)Nn1cnnc1.CCOC(=O)c1cc(Br)ccn1>>CCOC(=O)c1cc(N(CC(=O)Nn2cnnc2)C(=O)OC(C)(C)C)ccn1
R4332,CC(CN1C(=O)c2ccccc2C1=O)=Nn1cnnc1>>CC(CN)=Nn1cnnc1
R4470,CCOC(=O)CO.COc1cccc(CNCC(=O)Nn2cnnc2)c1>>COc1cccc(CN(CC(=O)Nn2cnnc2)C(=O)CO)c1
R4587,CC(C)(C)OC(=O)CO.CC(C)(C)OC(=O)NS(C)(=O)=O>>CC(C)(C)OC(=O)CN(C(=O)OC(C)(C)C)S(C)(=O)=O
R4588,CC(C)(C)OC(=O)CN(C(=O)OC(C)(C)C)S(C)(=O)=O>>CC(C)(C)OC(=O)N(CC(=O)O)S(C)(=O)=O
R4591,CC(C)(C)OC(=O)N(CC(=O)O)S(C)(=O)=O.Nc1nc(Cl)nc2[nH]cnc12>>CC(C)(C)OC(=O)N(CC(=O)Nc1nc(Cl)nc2[nH]cnc12)S(C)(=O)=O
R4592,CC(C)(C)OC(=O)N(CC(=O)O)S(C)(=O)=O.Nc1ccc(Cl)cc1N>>CC(C)(C)OC(=O)N(CC(=O)Nc1ccc(Cl)cc1N)S(C)(=O)=O
R4593,Nc1nc(Cl)nc2[nH]cnc12.O=C(Cl)CNC(=O)O>>O=C(O)NCC(=O)Nc1nc(Cl)nc2[nH]cnc12
R4595,CNCC(=O)Cl.Nc1nc(Cl)nc2[nH]cnc12>>CNCC(=O)Nc1nc(Cl)nc2[nH]cnc12
R4656,CC(O)CNC(=O)C(F)(F)F.COc1ccc(C(=O)Cl)cc1C(C)=O>>COc1ccc(C(=O)OC(C)CNC(=O)C(F)(F)F)cc1C(C)=O
R4953,CC(C)(C)OC(=O)N(CC(=O)Nc1ccc(Cl)cc1N)S(C)(=O)=O>>CC(C)(C)OC(=O)N(Cc1nc2cc(Cl)ccc2[nH]1)S(C)(=O)=O
R5053,COC(=O)c1ccc(OC)c(C(C)=O)c1>>COc1ccc(C(=O)O)cc1C(C)=O
R5166,CC(CNC(=O)C(F)(F)F)O[Si](C)(C)C(C)(C)C.Cn1cc(C(=O)O)cn1>>CC(CN(C(=O)c1cnn(C)c1)C(=O)C(F)(F)F)O[Si](C)(C)C(C)(C)C
R5168,CC(CN(C(=O)c1cnn(C)c1)C(=O)C(F)(F)F)O[Si](C)(C)C(C)(C)C>>CC(O)CN(C(=O)c1cnn(C)c1)C(=O)C(F)(F)F
R5423,COC(=O)c1ccc(NS(C)(=O)=O)c(C)c1>>Cc1cc(C(=O)O)ccc1NS(C)(=O)=O
R5425,Cc1cc(C(=O)O)ccc1NS(C)(=O)=O.NNC(=O)c1cccnc1>>Cc1cc(C(=O)NNC(=O)c2cccnc2)ccc1NS(C)(=O)=O
R5426,C[C@H](O)C(=O)N(CC(=O)O)S(C)(=O)=O.NNC(=O)c1cccnc1>>C[C@H](O)C(=O)N(CC(=O)NNC(=O)c1cccnc1)S(C)(=O)=O
R5429,COC(=O)c1ccc(N)c(C)c1>>COC(=O)c1ccc(NS(C)(=O)=O)c(C)c1
R5464,CC(C)(C)OC(=O)N(CC(=O)Nn1cnnc1)C(=O)C1CCCCC1>>CC(C)(C)OC(=O)N(CCNn1cnnc1)C(=O)C1CCCCC1
R5465,CC(=O)OCC(=O)NCC(=O)Nn1cnnc1>>O=C(CO)NCC(=O)Nn1cnnc1
R5535,COc1ccc(C(C#N)c2cccnc2)cc1C(C)=O>>COc1ccc(C(=O)c2cccnc2)cc1C(C)=O
R5563,O=C(O)NCCO>>O=C(Cl)CNC(=O)O
R5798,COc1ccc(C(=O)[O-])cc1C(C)O>>COc1ccc(C(=O)[O-])cc1C(C)=O
