,PC 1,PC 2,Class
500,34.809963,-19.663742,All candidates
501,4.354513,24.4602,All candidates
502,10.713354,-64.00674,All candidates
503,3.257247,43.41144,All candidates
504,58.151985,-20.895885,All candidates
505,29.123133,-3.69803,All candidates
506,-16.585037,40.108166,All candidates
507,5.522353,79.63432,All candidates
508,35.165855,-49.327045,All candidates
509,4.1342635,45.24546,All candidates
510,40.281776,45.138775,All candidates
511,7.132684,29.841692,All candidates
512,20.707142,14.40864,All candidates
513,10.914844,14.8057995,All candidates
514,10.914563,14.806065,All candidates
515,-84.70831,10.556905,All candidates
516,44.057655,-36.49056,All candidates
517,7.049652,-15.055255,All candidates
518,-3.6591034,-60.85439,All candidates
519,-14.854383,72.33509,All candidates
520,16.376099,16.89162,All candidates
521,58.654926,-28.142754,All candidates
522,68.407524,-0.10159348,All candidates
523,2.6702735,32.390915,All candidates
524,36.675552,-20.885439,All candidates
525,-4.44394,33.4094,All candidates
526,-33.88826,-34.083786,All candidates
527,-42.479343,-41.719875,All candidates
528,4.1872125,78.85123,All candidates
529,37.673412,-31.882526,All candidates
530,68.339874,-0.20501196,All candidates
531,3.782142,-63.029354,All candidates
532,34.92594,-11.99175,All candidates
533,34.926,-11.991881,All candidates
534,34.92594,-11.99175,All candidates
535,33.78127,-46.89429,All candidates
536,-82.69949,-0.5046625,All candidates
537,-6.626028,-25.991077,All candidates
538,-39.348785,-44.12062,All candidates
539,-34.350822,23.038986,All candidates
540,35.374405,13.110597,All candidates
541,-19.724592,39.38161,All candidates
542,-12.477977,39.08351,All candidates
543,23.093067,32.88581,All candidates
544,10.961696,-61.068565,All candidates
545,-4.726712,39.70253,All candidates
546,-7.88383,-41.471817,All candidates
547,65.54625,1.2889062,All candidates
548,6.052449,-14.170868,All candidates
549,-58.294716,-19.064396,All candidates
550,-41.373962,-45.315174,All candidates
551,-58.285385,-20.56831,All candidates
552,-80.53506,1.0521827,All candidates
553,18.243702,19.263239,All candidates
554,-40.481842,-8.538985,All candidates
555,43.185352,-23.513058,All candidates
556,-6.914033,36.65683,All candidates
557,-36.77976,13.360483,All candidates
558,-53.718815,33.72398,All candidates
559,-42.32077,-42.998573,All candidates
560,-8.911798,-42.447556,All candidates
561,18.988008,-28.753551,All candidates
562,39.042767,-25.701696,All candidates
563,-81.33072,4.3275723,All candidates
564,-81.656456,3.4455593,All candidates
565,5.8952656,81.82696,All candidates
566,5.8952518,81.826836,All candidates
567,47.044025,17.58001,All candidates
568,8.76537,-15.385314,All candidates
569,-39.747242,-7.580678,All candidates
570,24.171288,7.221846,All candidates
571,33.571014,-23.903671,All candidates
572,-9.449484,10.473394,All candidates
573,6.901153,76.84547,All candidates
574,13.966639,78.19939,All candidates
575,5.431212,31.034233,All candidates
576,29.561234,-20.106981,All candidates
577,-12.311537,33.452095,All candidates
578,30.461967,-52.889153,All candidates
579,68.07436,3.4546592,All candidates
